Time,Open,High,Low,Last,Change,Volume
07/31/18,1.17043,1.17456,1.1685,1.16897,-0.00143,167089
07/30/18,1.16563,1.17186,1.1648,1.1704,0.00522,135815
07/27/18,1.16399,1.16638,1.16219,1.16518,0.0010400000000002,173934
07/26/18,1.1728,1.17434,1.16402,1.16414,-0.0086600000000001,200936
07/25/18,1.16839,1.17382,1.16641,1.1728,0.00437,192762
07/24/18,1.1692,1.17164,1.16544,1.16843,-0.00071999999999983,184986
07/23/18,1.17325,1.17499,1.16836,1.16915,-0.0027700000000002,165727
07/20/18,1.16416,1.17382,1.16261,1.17192,0.0077800000000001,260489
07/19/18,1.1637,1.16739,1.15743,1.16414,0.00031999999999988,239622
07/18/18,1.16591,1.16647,1.16019,1.16382,-0.0021499999999999,191133
07/17/18,1.171,1.17445,1.16501,1.16597,-0.0050600000000001,195647
07/16/18,1.16875,1.17251,1.16755,1.17103,0.00274,164923
07/13/18,1.16695,1.16864,1.16125,1.16829,0.00129,188036
07/12/18,1.1673,1.16951,1.16496,1.167,-0.00025999999999993,196475
07/11/18,1.1743,1.17575,1.16654,1.16726,-0.00722,240180
07/10/18,1.17499,1.17624,1.16903,1.17448,-0.00051000000000001,179352
07/09/18,1.1747,1.17904,1.17326,1.17499,0.00072000000000005,190470
07/06/18,1.1689,1.17665,1.16798,1.17427,0.0052399999999999,197306
07/05/18,1.16563,1.172,1.16498,1.16903,0.00349,208643
07/04/18,1.1655,1.16815,1.16304,1.16554,-0.00012999999999996,151184
07/03/18,1.16391,1.16729,1.16204,1.16567,0.0018100000000001,203175
07/02/18,1.16327,1.16891,1.15912,1.16386,-0.0042500000000001,200496
06/29/18,1.1568,1.16901,1.15577,1.16811,0.01133,281091
06/28/18,1.15515,1.15992,1.15272,1.15678,0.00163,254598
06/27/18,1.1647,1.16718,1.15412,1.15515,-0.0095000000000001,241082
06/26/18,1.17033,1.172,1.16361,1.16465,-0.0057100000000001,225179
06/25/18,1.1655,1.17127,1.16287,1.17036,0.0052000000000001,199124
06/22/18,1.1601,1.16748,1.15994,1.16516,0.00492,227967
06/21/18,1.15718,1.16319,1.15089,1.16024,0.00319,243482
06/20/18,1.1589,1.15998,1.15398,1.15705,-0.0017100000000001,215482
06/19/18,1.1623,1.16444,1.15303,1.15876,-0.00346,244291
06/18/18,1.16008,1.16242,1.15646,1.16222,0.0016700000000001,168908
06/15/18,1.15655,1.16262,1.15432,1.16055,0.00393,224513
06/14/18,1.179,1.18507,1.15636,1.15662,-0.02248,269994
06/13/18,1.17447,1.18005,1.1729,1.1791,0.0046600000000001,198864
06/12/18,1.1784,1.18088,1.17334,1.17444,-0.0038800000000001,194103
06/11/18,1.17719,1.18202,1.17708,1.17832,0.00156,150969
06/08/18,1.1798,1.18102,1.17272,1.17676,-0.0030299999999999,194480
06/07/18,1.1775,1.18397,1.17725,1.17979,0.00237,215962
06/06/18,1.1715,1.17949,1.17116,1.17742,0.0057999999999998,200253
06/05/18,1.1696,1.17319,1.16528,1.17162,0.0018600000000002,205938
06/04/18,1.16545,1.17442,1.16545,1.16976,0.0039799999999999,183251
06/01/18,1.1691,1.17177,1.16178,1.16578,-0.0032999999999999,238035
05/31/18,1.16633,1.17241,1.16431,1.16908,0.0029399999999999,250202
05/30/18,1.1538,1.1674,1.15185,1.16614,0.01267,286709
05/29/18,1.16241,1.16395,1.15099,1.15347,-0.0088699999999999,285707
05/28/18,1.16859,1.17282,1.16075,1.16234,-0.00227,164171
05/25/18,1.1719,1.17333,1.16453,1.16461,-0.00735,221931
05/24/18,1.16958,1.17497,1.16906,1.17196,0.0023299999999999,219267
05/23/18,1.1778,1.17895,1.16772,1.16963,-0.0081599999999999,269259
05/22/18,1.1791,1.18296,1.1757,1.17779,-0.0012800000000002,198588
05/21/18,1.17714,1.17953,1.17166,1.17907,0.0022,159323
05/18/18,1.1794,1.18219,1.17498,1.17687,-0.0024799999999998,187133
05/17/18,1.18073,1.18373,1.17768,1.17935,-0.00129,217909
05/16/18,1.18378,1.18538,1.17638,1.18064,-0.0030300000000001,245183
05/15/18,1.19256,1.19381,1.18209,1.18367,-0.00891,236307
05/14/18,1.19463,1.19959,1.19257,1.19258,-0.0012799999999999,159036
05/11/18,1.1914,1.19665,1.18912,1.19386,0.0024299999999999,177929
05/10/18,1.18493,1.19457,1.18429,1.19143,0.0065,252673
05/09/18,1.1863,1.18968,1.18225,1.18493,-0.00142,199757
05/08/18,1.19218,1.19386,1.18393,1.18635,-0.0058499999999999,214586
05/07/18,1.19557,1.19778,1.18975,1.1922,-0.0035700000000001,142922
05/04/18,1.19868,1.19953,1.19113,1.19577,-0.0029600000000001,204992
05/03/18,1.195,1.20087,1.19476,1.19873,0.0037200000000002,237526
05/02/18,1.19914,1.20313,1.19378,1.19501,-0.0041500000000001,241091
05/01/18,1.20772,1.20839,1.19817,1.19916,-0.0085200000000001,153716
04/30/18,1.21244,1.21387,1.20642,1.20768,-0.0051699999999999,183896
04/27/18,1.2101,1.21327,1.20555,1.21285,0.0025999999999999,192921
04/26/18,1.2161,1.22055,1.20963,1.21025,-0.0057799999999999,231177
04/25/18,1.22318,1.22385,1.21598,1.21603,-0.0071000000000001,176853
04/24/18,1.22079,1.22444,1.21816,1.22313,0.0023500000000001,190588
04/23/18,1.2265,1.22894,1.21981,1.22078,-0.0078100000000001,163485
04/20/18,1.2344,1.23525,1.22545,1.22859,-0.00586,183753
04/19/18,1.2373,1.23999,1.23296,1.23445,-0.00284,200084
04/18/18,1.23693,1.23966,1.23423,1.23729,0.00035000000000007,175942
04/17/18,1.2379,1.24135,1.23364,1.23694,-0.00095000000000001,152041
04/16/18,1.23296,1.23934,1.23243,1.23789,0.00508,142175
04/13/18,1.2326,1.23457,1.23068,1.23281,0.00024999999999986,159020
04/12/18,1.2365,1.23795,1.22995,1.23256,-0.00406,197706
04/11/18,1.2354,1.23948,1.23471,1.23662,0.00109,192609
04/10/18,1.23171,1.23772,1.23027,1.23553,0.00362,214036
04/09/18,1.22743,1.233,1.22623,1.23191,0.0038900000000002,179901
04/06/18,1.2239,1.22901,1.22153,1.22802,0.00406,224839
04/05/18,1.2276,1.22899,1.22183,1.22396,-0.0037700000000001,160284
04/04/18,1.2268,1.23127,1.22569,1.22773,0.00078,153617
04/03/18,1.23011,1.23351,1.22538,1.22695,-0.00322,156491
04/02/18,1.23223,1.23441,1.22834,1.23017,-0.0018100000000001,78663
03/30/18,1.23,1.23302,1.22943,1.23198,0.002,79772
03/29/18,1.23079,1.23356,1.22836,1.22998,-0.00065999999999988,174434
03/28/18,1.2402,1.24215,1.23,1.23064,-0.00959,167059
03/27/18,1.2443,1.24762,1.23722,1.24023,-0.00447,180892
03/26/18,1.23425,1.24611,1.23425,1.2447,0.0096399999999999,158242
03/23/18,1.23015,1.23725,1.22998,1.23506,0.00492,200579
03/22/18,1.23381,1.23878,1.22862,1.23014,-0.0036099999999999,228523
03/21/18,1.22407,1.23492,1.22399,1.23375,0.0096099999999999,194192
03/20/18,1.23352,1.23542,1.22396,1.22414,-0.00926,181944
03/19/18,1.2285,1.23582,1.22579,1.2334,0.0045300000000001,182813
03/16/18,1.23045,1.23359,1.22602,1.22887,-0.0015900000000002,159689
03/15/18,1.23668,1.23832,1.23001,1.23046,-0.0061899999999999,176418
03/14/18,1.23898,1.24124,1.23475,1.23665,-0.00224,170994
03/13/18,1.2336,1.2407,1.23139,1.23889,0.00546,201478
03/12/18,1.23145,1.23452,1.22901,1.23343,0.00305,139623
03/09/18,1.2311,1.2334,1.2274,1.23038,-0.00063999999999997,213863
03/08/18,1.24101,1.24458,1.22982,1.23102,-0.01003,247423
03/07/18,1.2403,1.24435,1.2385,1.24105,0.00069999999999992,233501
03/06/18,1.2334,1.24189,1.23287,1.24035,0.00682,214156
03/05/18,1.23546,1.23636,1.22688,1.23353,0.00193,222348
03/02/18,1.2264,1.23357,1.22512,1.2316,0.0049600000000001,225773
03/01/18,1.21933,1.22712,1.21557,1.22664,0.00739,253619
02/28/18,1.2232,1.22409,1.21879,1.21925,-0.0039900000000002,204095
02/27/18,1.2316,1.23462,1.22224,1.22324,-0.0083599999999999,226914
02/26/18,1.22899,1.23547,1.22782,1.2316,0.0022500000000001,176842
02/23/18,1.2327,1.23367,1.22796,1.22935,-0.00353,180348
02/22/18,1.2282,1.23509,1.22597,1.23288,0.00465,213312
02/21/18,1.2336,1.23591,1.22811,1.22823,-0.0054500000000002,225757
02/20/18,1.2405,1.24117,1.23197,1.23368,-0.00684,208058
02/19/18,1.23973,1.24348,1.2369,1.24052,0.00067000000000017,143887
02/16/18,1.2505,1.25549,1.23951,1.23985,-0.01056,232641
02/15/18,1.2451,1.25099,1.24477,1.25041,0.0055000000000001,240662
02/14/18,1.2352,1.24648,1.22768,1.24491,0.0098799999999999,270365
02/13/18,1.22891,1.23704,1.22844,1.23503,0.0059400000000001,201882
02/12/18,1.22443,1.22969,1.22349,1.22909,0.00424,180219
02/09/18,1.2245,1.22868,1.22055,1.22485,0.00025999999999993,300510
02/08/18,1.2263,1.22946,1.2212,1.22459,-0.0016699999999998,322949
02/07/18,1.2375,1.24055,1.22466,1.22626,-0.01134,257781
02/06/18,1.23663,1.24333,1.23143,1.2376,0.00096000000000007,380267
02/05/18,1.24333,1.24748,1.23623,1.23664,-0.00868,258693
02/02/18,1.25071,1.25179,1.24097,1.24532,-0.0054000000000001,285595
02/01/18,1.24125,1.25217,1.23854,1.25072,0.0094800000000002,270120
01/31/18,1.2402,1.24746,1.23875,1.24124,0.0010299999999999,301760
01/30/18,1.238,1.24534,1.23352,1.24021,0.0021100000000001,254127
01/29/18,1.24199,1.24319,1.23373,1.2381,-0.0041899999999999,235321
01/26/18,1.23925,1.24933,1.23694,1.24229,0.00291,296232
01/25/18,1.2407,1.25369,1.23648,1.23938,-0.0014500000000002,424537
01/24/18,1.22982,1.24147,1.22927,1.24083,0.01106,239429
01/23/18,1.226,1.23055,1.2223,1.22977,0.0036700000000001,188712
01/22/18,1.22714,1.22733,1.22139,1.2261,0.0046899999999999,151939
01/19/18,1.2236,1.22951,1.2214,1.22141,-0.0022799999999998,206793
01/18/18,1.21838,1.2264,1.21649,1.22369,0.0052699999999999,206746
01/17/18,1.2259,1.23212,1.21769,1.21842,-0.00753,256235
01/16/18,1.2264,1.22815,1.21956,1.22595,-0.00034999999999985,204998
01/15/18,1.21989,1.22964,1.21874,1.2263,0.0064199999999999,180340
01/12/18,1.20309,1.22149,1.20306,1.21988,0.01675,239418
01/11/18,1.1946,1.20587,1.19296,1.20313,0.00844,223297
01/10/18,1.19361,1.20164,1.19232,1.19469,0.0010700000000001,193183
01/09/18,1.1967,1.19755,1.1916,1.19362,-0.0030300000000001,141430
01/08/18,1.20248,1.2052,1.19562,1.19665,-0.00613,123779
01/05/18,1.20682,1.20805,1.20207,1.20278,-0.0039899999999999,158569
01/04/18,1.20138,1.20881,1.20042,1.20677,0.0053999999999998,148143
01/03/18,1.20583,1.2066,1.20017,1.20137,-0.00444,135836
01/02/18,1.2011,1.2081,1.1998,1.20581,0.0051300000000001,141952
01/01/18,1.20012,1.2016,1.19921,1.20068,0.0012399999999999,4021
12/29/17,1.19426,1.20252,1.19354,1.19944,0.0052400000000001,116465
12/28/17,1.1896,1.19588,1.18941,1.1942,0.00474,107365
12/27/17,1.1858,1.19097,1.18548,1.18946,0.0036700000000001,111432
12/26/17,1.1856,1.18762,1.18464,1.18579,-0.00087000000000015,58243
12/25/17,1.18314,1.19,1.18311,1.18666,0.00080000000000013,11067
12/22/17,1.18726,1.18752,1.1817,1.18586,-0.0013700000000001,135783
12/21/17,1.187,1.18893,1.18493,1.18723,0.00019999999999998,134447
12/20/17,1.18381,1.18993,1.18289,1.18703,0.00322,110899
12/19/17,1.17816,1.18487,1.17764,1.18381,0.0057100000000001,158257
12/18/17,1.17413,1.18332,1.17377,1.1781,0.0032799999999999,132561
12/15/17,1.17762,1.18121,1.17444,1.17482,-0.0028900000000001,140318
12/14/17,1.18258,1.18622,1.17706,1.17771,-0.00478,172147
12/13/17,1.1741,1.18313,1.17293,1.18249,0.0084200000000001,158230
12/12/17,1.17679,1.17925,1.17174,1.17407,-0.0027200000000001,135176
12/11/17,1.17615,1.18115,1.17615,1.17679,-0.00025999999999993,120638
12/08/17,1.1773,1.17763,1.17301,1.17705,-0.00017,136560
12/07/17,1.17931,1.18136,1.17716,1.17722,-0.00214,133682
12/06/17,1.18248,1.18478,1.17802,1.17936,-0.0031099999999999,142553
12/05/17,1.18643,1.18766,1.18006,1.18247,-0.0039900000000002,146959
12/04/17,1.18547,1.18784,1.18294,1.18646,-0.00237,148384
12/01/17,1.1903,1.19403,1.18518,1.18883,-0.0014399999999999,316314
11/30/17,1.1846,1.19308,1.18091,1.19027,0.00563,277972
11/29/17,1.1838,1.18827,1.18173,1.18464,0.00092999999999988,239112
11/28/17,1.18906,1.19198,1.18271,1.18371,-0.0052999999999999,301728
11/27/17,1.194,1.19607,1.18901,1.18901,-0.0041200000000001,231909
11/24/17,1.18466,1.19441,1.18363,1.19313,0.00837,209138
11/23/17,1.1819,1.18555,1.18131,1.18476,0.00292,168930
11/22/17,1.1736,1.18268,1.17318,1.18184,0.0081,230907
11/21/17,1.1732,1.17575,1.17131,1.17374,0.00055000000000005,223627
11/20/17,1.1783,1.18086,1.17222,1.17319,-0.00552,272194
11/17/17,1.177,1.18213,1.17652,1.17871,0.0018099999999999,255094
11/16/17,1.1789,1.18006,1.17573,1.1769,-0.0021499999999999,243387
11/15/17,1.1797,1.18596,1.17845,1.17905,-0.00067000000000017,284149
11/14/17,1.1666,1.18047,1.16612,1.17972,0.01308,229635
11/13/17,1.16532,1.1675,1.16375,1.16664,0.00032999999999994,179812
11/10/17,1.16413,1.16771,1.16222,1.16631,0.0021799999999998,197983
11/09/17,1.1594,1.16543,1.15856,1.16413,0.0047200000000001,253481
11/08/17,1.15828,1.16108,1.15799,1.15941,0.00087999999999999,207519
11/07/17,1.1608,1.16153,1.15545,1.15853,-0.0021799999999998,244034
11/06/17,1.16135,1.16239,1.15805,1.16071,0.00014999999999987,226167
11/03/17,1.16576,1.16884,1.15991,1.16056,-0.0052399999999999,260108
11/02/17,1.1618,1.16861,1.1613,1.1658,0.0040499999999999,314690
11/01/17,1.1646,1.1657,1.16068,1.16175,-0.00278,262756
10/31/17,1.16496,1.16606,1.16247,1.16453,-0.00039999999999996,223657
10/30/17,1.16075,1.16576,1.15938,1.16493,0.00431,230264
10/27/17,1.16503,1.1657,1.15745,1.16062,-0.0043800000000001,323866
10/26/17,1.18123,1.18365,1.16413,1.165,-0.01622,360842
