"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 30, 2018","25,307.30","25,468.11","25,499.76","25,288.32","281.37M","-0.56%"
"Jul 27, 2018","25,451.06","25,520.52","25,580.22","25,370.07","329.68M","-0.30%"
"Jul 26, 2018","25,527.07","25,468.55","25,587.24","25,463.16","297.53M","0.44%"
"Jul 25, 2018","25,414.10","25,183.70","25,432.87","25,113.55","273.67M","0.68%"
"Jul 24, 2018","25,241.94","25,092.43","25,286.62","25,092.43","274.94M","0.79%"
"Jul 23, 2018","25,044.29","25,036.90","25,081.45","24,983.33","228.82M","-0.06%"
"Jul 20, 2018","25,058.12","25,041.14","25,124.10","24,986.35","274.08M","-0.03%"
"Jul 19, 2018","25,064.50","25,139.15","25,154.17","25,052.62","285.76M","-0.53%"
"Jul 18, 2018","25,199.29","25,133.79","25,215.32","25,101.12","252.87M","0.32%"
"Jul 17, 2018","25,119.89","25,033.92","25,155.39","24,989.61","250.44M","0.22%"
"Jul 16, 2018","25,064.36","25,025.58","25,072.41","24,979.64","231.27M","0.18%"
"Jul 13, 2018","25,019.41","24,926.07","25,043.21","24,890.06","255.52M","0.38%"
"Jul 12, 2018","24,924.89","24,802.90","24,939.97","24,802.90","233.16M","0.91%"
"Jul 11, 2018","24,700.45","24,789.48","24,815.16","24,663.82","237.37M","-0.88%"
"Jul 10, 2018","24,919.66","24,806.97","24,945.38","24,806.97","235.04M","0.58%"
"Jul 09, 2018","24,776.59","24,519.20","24,796.52","24,518.43","240.58M","1.31%"
"Jul 06, 2018","24,456.48","24,352.47","24,520.29","24,281.47","219.45M","0.41%"
"Jul 05, 2018","24,356.74","24,285.82","24,372.80","24,177.44","237.67M","0.75%"
"Jul 03, 2018","24,174.82","24,359.39","24,444.88","24,150.85","160.96M","-0.54%"
"Jul 02, 2018","24,307.18","24,161.53","24,319.42","24,077.56","244.11M","0.15%"
"Jun 29, 2018","24,271.41","24,323.93","24,509.52","24,269.71","329.07M","0.23%"
"Jun 28, 2018","24,216.05","24,064.19","24,308.16","23,997.21","305.02M","0.41%"
"Jun 27, 2018","24,117.59","24,303.11","24,569.02","24,115.82","313.79M","-0.68%"
"Jun 26, 2018","24,283.11","24,281.89","24,384.21","24,241.22","301.13M","0.12%"
"Jun 25, 2018","24,252.80","24,463.73","24,463.73","24,084.39","439.13M","-1.33%"
"Jun 22, 2018","24,580.89","24,526.97","24,663.18","24,526.97","473.96M","0.49%"
"Jun 21, 2018","24,461.70","24,639.21","24,639.21","24,406.63","349.57M","-0.80%"
"Jun 20, 2018","24,657.80","24,771.17","24,804.76","24,628.39","359.52M","-0.17%"
"Jun 19, 2018","24,700.21","24,763.59","24,763.59","24,567.75","376.38M","-1.15%"
"Jun 18, 2018","24,987.47","24,944.28","25,003.10","24,825.77","337.07M","-0.41%"
